Quản Lý Sản Phẩm,,,,,,,,,Tiền An Nhiên,Tiền Hà Mai,Ngày Lên Đơn,16-09-2020,,
STT,Tên sản phẩm,Đơn vị tính,Số Lượng,Giá Nhập,Giá Bán Sỉ,Giá Bán Lẻ,Thành Tiền,,"24,97,000","53,45,000",,,,
1,Máy Phun Sương (Hồng),Cái,5,"31,000","37,000","65,000","1,55,000",,Tổng Tiền Lãi,Tổng Tiền,,,,
2,Set Son Chan,Set,5,"22,000","32,000","60,000","1,10,000",,"-61,98,000","78,12,000",,,,
3,Xịt Bưởi,Chai,5,"24,000","35,000","65,000","1,20,000",,Tên Sản Phẩm,Số Lượng Bán Lẻ,Số Lượng Bán Sỉ,Tổng Tiền Bán Được Của 1 Món,Tồn Kho,Tiền Lãi Trên SP
4,Bộ Trị Mụn,Bộ,5,"39,000","48,000","79,000","1,95,000",,Máy Phun Sương (Hồng),,,0,5,"-1,55,000"
5,Trị Rạn Da Sau Sinh,Chai,5,"39,000","49,000","75,000","1,95,000",,Set Son Chan,,,0,5,"-1,10,000"
6,Toner VaneKaa,Chai,5,"35,000","42,000","69,000","1,75,000",,Xịt Bưởi,,1,"35,000",4,"-85,000"
7,Kem Đánh Răng Than Tre,Chai,5,"17,000","22,000","27,000","85,000",,Bộ Trị Mụn,,3,"1,44,000",2,"-51,000"
8,Nạ Mắt Bio Vàng,Hộp,24,"27,000","35,000","55,000","6,48,000",,Trị Rạn Da Sau Sinh,1,1,"1,24,000",3,"-71,000"
9,Nạ Mắt Bio Xanh,Hộp,12,"27,000","35,000","55,000","3,24,000",,Toner VaneKaa,,,0,5,"-1,75,000"
10,Nạ Collagen (Đủ Mùi),Hộp,20,"23,000","31,000","39,000","4,60,000",,Kem Đánh Răng Than Tre,,3,"66,000",2,"-19,000"
11,Massage Trị Thâm,Hộp,10,"40,000","49,000","79,000","4,00,000",,Nạ Mắt Bio Vàng,1,,"55,000",23,"-5,93,000"
12,Chuốt mi Lamila,Cây,20,"7,500","17,000","29,000","1,50,000",,Nạ Mắt Bio Xanh,,,0,12,"-3,24,000"
13,Kẻ Mày Drawing,Cây,20,"6,000","14,000","28,000","1,20,000",,Nạ Collagen (Đủ Mùi),1,1,"70,000",18,"-3,90,000"
14,Shimang Khô,Cái,30,"10,000","15,000","23,000","3,00,000",,Massage Trị Thâm,,,0,10,"-4,00,000"
15,Kem Chống Nắng Vàng Xanh,Chai,10,"30,000","37,000","55,000","3,00,000",,Chuốt mi Lamila,,20,"3,40,000",0,"1,90,000"
16,Son 3 Màu,Cây,10,"34,500","44,000","69,000","3,45,000",,Kẻ Mày Drawing,,,0,20,"-1,20,000"
17,Son Vongee,Set,10,"65,000","83,000","1,35,000","6,50,000",,Shimang Khô,,,0,30,"-3,00,000"
18,Xịt Khóa Nhũ Makeup,Chai,5,"36,000","46,000","69,000","1,80,000",,Kem Chống Nắng Vàng Xanh,,,0,10,"-3,00,000"
19,Kem Nền Kiss,Chai,5,"18,000","25,000","37,000","90,000",,Son 3 Màu,,,0,10,"-3,45,000"
20,Gel Khóa Môi,Chai,10,"18,500","24,000","45,000","1,85,000",,Son Vongee,1,,"1,35,000",9,"-5,15,000"
21,Xịt Khoáng Nha Đam,Chai,5,"38,000","47,000","68,000","1,90,000",,Xịt Khóa Nhũ Makeup,,,0,5,"-1,80,000"
22,Chì Phẩy Sợi,Cây,10,"12,000","17,000","35,000","1,20,000",,Kem Nền Kiss,,,0,5,"-90,000"
23,Nạ Collagen Yan,Hộp,10,"20,000","35,000","55,000","2,00,000",,Gel Khóa Môi,,,0,10,"-1,85,000"
24,Serum Nhau Thai,Hộp,10,"73,000","85,000","1,35,000","7,30,000",,Xịt Khoáng Nha Đam,,,0,5,"-1,90,000"
25,Bảng Mắt 18 ô Con Mèo,Hộp,5,"38,000","48,000","65,000","1,90,000",,Chì Phẩy Sợi,,,0,10,"-1,20,000"
26,Matcha 15 gói,Túi,20,"16,500","23,000","33,000","3,30,000",,Nạ Collagen Yan,1,,"55,000",9,"-1,45,000"
27,Sakura 15 gói,Túi,20,"16,500","23,000","33,000","3,30,000",,Serum Nhau Thai,1,1,"2,20,000",8,"-5,10,000"
28,Mặt Nạ Vàng 24K,Hộp,5,"33,000","38,000","68,000","1,65,000",,Bảng Mắt 18 ô Con Mèo,,,0,5,"-1,90,000"
29,Máy Massage Mặt,Cái,10,"37,000","48,000","85,000","3,70,000",,Matcha 15 gói,,,0,20,"-3,30,000"
30,Shimang Nước,Chai,10,33000,40000,65000,330000,,Sakura 15 gói,,,0,20,"-3,30,000"
31,,,,,,,,,Mặt Nạ Vàng 24K,,,0,5,"-1,65,000"
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
